Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.035648,0.036718,0.035544,0.036638,0.036638,587667
2019-01-02,0.036820,0.039858,0.036676,0.039318,0.039318,844001
2019-01-03,0.039356,0.039754,0.038425,0.038870,0.038870,697510
2019-01-04,0.038812,0.040691,0.038730,0.040071,0.040071,810374
2019-01-05,0.040007,0.041418,0.040067,0.040476,0.040476,868152
2019-01-06,0.040519,0.039184,0.039683,0.038695,0.038695,792638
2019-01-07,0.038711,0.038738,0.037507,0.037687,0.037687,673774
2019-01-08,0.037754,0.037575,0.037196,0.037302,0.037302,610246
2019-01-09,0.037351,0.037815,0.037231,0.037371,0.037371,587129
2019-01-10,0.037381,0.037518,0.034565,0.034963,0.034963,923567
2019-01-11,0.034742,0.035279,0.034027,0.034591,0.034591,723439
2019-01-12,0.034585,0.034894,0.034277,0.034405,0.034405,604187
2019-01-13,0.034389,0.034382,0.032739,0.032902,0.032902,638417
2019-01-14,0.032924,0.035127,0.032921,0.034826,0.034826,755004
2019-01-15,0.034855,0.035390,0.033187,0.033612,0.033612,753427
2019-01-16,0.033550,0.034489,0.033438,0.033802,0.033802,751427
2019-01-17,0.033809,0.033768,0.033357,0.033639,0.033639,705191
2019-01-18,0.033615,0.033630,0.033060,0.033082,0.033082,630260
2019-01-19,0.033248,0.033538,0.033124,0.033396,0.033396,817542
2019-01-20,0.033426,0.033464,0.033084,0.033178,0.033178,823132
2019-01-21,0.033223,0.033179,0.032538,0.032762,0.032762,677209
2019-01-22,0.032749,0.033052,0.032315,0.032944,0.032944,708130
2019-01-23,0.032934,0.032973,0.032621,0.032761,0.032761,713212
2019-01-24,0.032764,0.032671,0.032443,0.032593,0.032593,700066
2019-01-25,0.032657,0.032628,0.032355,0.032329,0.032329,724181
2019-01-26,0.032328,0.032318,0.032258,0.032336,0.032336,669593
2019-01-27,0.032342,0.032357,0.031642,0.031642,0.031642,774530
2019-01-28,0.031609,0.031697,0.029982,0.030714,0.030714,970161
2019-01-29,0.030752,0.030885,0.030376,0.030625,0.030625,841160
2019-01-30,0.030569,0.031439,0.030559,0.031240,0.031240,824504
2019-01-31,0.031238,0.031516,0.030883,0.030962,0.030962,818093
2019-02-01,0.030987,0.031041,0.030529,0.030852,0.030852,728587
2019-02-02,0.030811,0.031406,0.030762,0.031363,0.031363,677398
2019-02-03,0.031380,0.031482,0.030897,0.031031,0.031031,727288
2019-02-04,0.031070,0.031331,0.031071,0.031170,0.031170,720375
2019-02-05,0.031114,0.031133,0.030813,0.030996,0.030996,725795
2019-02-06,0.031032,0.031008,0.030246,0.030734,0.030734,759585
2019-02-07,0.030710,0.030972,0.030727,0.030750,0.030750,684449
2019-02-08,0.030783,0.032451,0.030684,0.032527,0.032527,997289
2019-02-09,0.032512,0.032808,0.032353,0.032532,0.032532,785751
2019-02-10,0.032526,0.033828,0.032091,0.033821,0.033821,853281
2019-02-11,0.033839,0.033839,0.032951,0.033247,0.033247,883249
2019-02-12,0.033214,0.033677,0.032973,0.033549,0.033549,862064
2019-02-13,0.033541,0.034219,0.033585,0.033742,0.033742,932412
2019-02-14,0.033704,0.034214,0.033543,0.033562,0.033562,921153
2019-02-15,0.033580,0.033927,0.033554,0.033722,0.033722,834548
2019-02-16,0.033804,0.034106,0.033776,0.033958,0.033958,800552
2019-02-17,0.033936,0.036556,0.033910,0.036365,0.036365,1153040
2019-02-18,0.036211,0.037746,0.036227,0.037311,0.037311,1375873
2019-02-19,0.037388,0.037803,0.036780,0.036824,0.036824,1345507
2019-02-20,0.036780,0.037390,0.036205,0.037390,0.037390,1125074
2019-02-21,0.037340,0.037340,0.036690,0.036957,0.036957,1010533
2019-02-22,0.036942,0.037256,0.036743,0.037222,0.037222,931488
2019-02-23,0.037118,0.038194,0.037074,0.038333,0.038333,1090993
2019-02-24,0.038359,0.039331,0.035653,0.035653,0.035653,1563529
2019-02-25,0.035560,0.036503,0.035588,0.036012,0.036012,1265716
2019-02-26,0.035966,0.036028,0.035575,0.035827,0.035827,983638
2019-02-27,0.035811,0.036367,0.034748,0.035348,0.035348,1160665
2019-02-28,0.035389,0.035556,0.035254,0.035474,0.035474,1176574
2019-03-01,0.035498,0.035699,0.035339,0.035352,0.035352,973194
2019-03-02,0.035328,0.035446,0.034558,0.034729,0.034729,969662
2019-03-03,0.034879,0.035078,0.034164,0.034376,0.034376,897899
2019-03-04,0.034352,0.034359,0.033480,0.033968,0.033968,1065562
2019-03-05,0.033973,0.035408,0.033779,0.035372,0.035372,1222893
2019-03-06,0.035407,0.035810,0.035167,0.035551,0.035551,1175492
2019-03-07,0.035590,0.035762,0.035240,0.035290,0.035290,1109350
2019-03-08,0.035360,0.035312,0.034438,0.034638,0.034638,1199349
2019-03-09,0.034577,0.035107,0.034559,0.034811,0.034811,1264578
2019-03-10,0.034865,0.034910,0.034525,0.034608,0.034608,1158629
2019-03-11,0.034631,0.034678,0.034208,0.034270,0.034270,1200905
2019-03-12,0.034316,0.034462,0.033872,0.034392,0.034392,1204861
2019-03-13,0.034435,0.034401,0.034038,0.034111,0.034111,1091751
2019-03-14,0.034096,0.034309,0.034014,0.034072,0.034072,1140701
2019-03-15,0.034035,0.034873,0.034015,0.034763,0.034763,1137835
2019-03-16,0.034818,0.035515,0.034818,0.035171,0.035171,1195192
2019-03-17,0.035132,0.035127,0.034746,0.034781,0.034781,950793
2019-03-18,0.034807,0.034984,0.034560,0.034563,0.034563,1128762
2019-03-19,0.034533,0.034537,0.034539,0.034516,0.034516,1044286
2019-03-20,0.034507,0.034495,0.034238,0.034419,0.034419,1141079
2019-03-21,0.034368,0.034472,0.033901,0.033910,0.033910,1262555
2019-03-22,0.033892,0.034238,0.033864,0.034091,0.034091,1116037
2019-03-23,0.034056,0.034418,0.034054,0.034253,0.034253,1099296
2019-03-24,0.034272,0.034312,0.033958,0.034058,0.034058,1060832
