time,value,gas_price,size,total_diff,diff,blockgas_limit,blockgas_used,trans_count
2019-12-09 00:00:00,1.7142318721854874e+18,11884883690.885172,26954.19698394129,1.3205776420244396e+22,2491522221194225.0,9978089.114397718,8265006.539027057,132.47418094462446
2019-12-09 12:00:00,1.8648782546548347e+18,10653457587.22996,23119.128702455684,1.321282280084217e+22,2505304909613525.5,9949122.607298868,7206298.761942998,94.21635826360324
2019-12-10 00:00:00,2.59875549910952e+18,12891475418.326363,27605.078101089322,1.3219916380561155e+22,2515802366308609.5,9971128.704942262,8498842.152100425,132.22440297794986
2019-12-10 12:00:00,2.879208611518871e+18,10510875176.633972,22830.284267695828,1.3227312096608485e+22,2621949507614439.5,9960086.791303707,7957343.414199361,90.29175598770733
2019-12-11 00:00:00,1.1554726824141217e+18,14608372990.113287,26911.388794810005,1.3234634274485886e+22,2567616765321609.5,9974723.87140379,8566689.087968985,131.80128803839875
2019-12-11 12:00:00,1.815706753446617e+18,10503505100.02322,22632.271325285183,1.3241574636702986e+22,2481810186566823.5,9963180.551826298,8396264.1414182,93.8285864339445
2019-12-12 00:00:00,1.9786180122630756e+18,13445056909.850828,26974.39910252007,1.3248586409345074e+22,2492290301480806.5,9978611.51626929,8849215.88693784,128.01661026055785
2019-12-12 12:00:00,1.6210139764346514e+18,9983415923.402853,22890.121722413038,1.3255719004849666e+22,2520741116290117.0,9967663.783052124,8192045.317573033,95.96575352913861
2019-12-13 00:00:00,1.9300169180549476e+18,12689501329.419441,26776.260947391533,1.3262997374986508e+22,2545864180150175.5,9972905.437273456,8780155.080498489,133.70604881045023
2019-12-13 12:00:00,1.3910381568466504e+18,10407226008.184748,22301.740124962893,1.327009907769493e+22,2701669212910657.5,9974042.534552056,7952183.926439453,92.74632404075737
2019-12-14 00:00:00,1.2177208026290476e+18,11989958325.718367,25102.585050968002,1.3277466783936921e+22,2851700131471065.0,9964901.455404872,8167195.009396754,124.7030566380317
2019-12-14 12:00:00,1.6862681252480653e+18,10637525498.969385,21140.905377185936,1.3284823836573884e+22,2844149117612236.0,9960367.941281287,7977613.686299079,90.03217029262125
2019-12-15 00:00:00,1.169658715042497e+18,12851156352.541616,24909.523056449758,1.329202129941821e+22,2803005301407990.0,9946975.456862532,7944246.609147833,119.71188610921097
2019-12-15 12:00:00,1.2735829235434624e+18,11221038881.032259,21055.00720477966,1.329916794696101e+22,2807330446551724.5,9969194.903779397,8068784.2019051835,86.70002619428693
2019-12-16 00:00:00,1.5727832304827382e+18,13572247957.88105,27966.96160877567,1.3306378341655385e+22,2815147824716537.0,9972501.312013054,8611012.473988542,139.2119325353556
2019-12-16 12:00:00,3.831818539035777e+18,13095235800.388008,25609.090699153192,1.3313542270385589e+22,2783630661628346.5,9978318.04376618,8531356.276689319,109.88724742116237
2019-12-17 00:00:00,2.919062276218902e+18,14170817988.278666,28918.662475831738,1.3320484944850645e+22,2703552984176234.0,9970503.081738153,8962483.844767531,145.57589845261614
2019-12-17 12:00:00,5.664366592823371e+18,16203852567.878616,25481.406558934483,1.3327224235175405e+22,2678825406635332.0,9976516.228592543,9046270.12832299,111.22908584841419
2019-12-18 00:00:00,3.7220775833437076e+18,18246338168.50417,30781.84408876633,1.3333809207375573e+22,2604798134285272.5,9971592.420487119,9216370.414324079,158.44545630850794
2019-12-18 12:00:00,5.821018877465272e+18,13787230161.430824,25599.588528621985,1.3340337145647481e+22,2595979440356162.5,9975920.776055535,8672079.427553153,108.76870575452195
2019-12-19 00:00:00,4.462322986555644e+18,12316372476.216965,29848.73500765822,1.334690577127372e+22,2606483967402307.5,9980833.084270747,9073034.29041045,147.49798667267342
2019-12-19 12:00:00,3.1036270956460155e+18,10845514791.003107,24675.856886457903,1.3353373940531172e+22,2581505033827641.5,9976524.570272757,8493502.0721887,100.95275724397787
2019-12-20 00:00:00,2.0468605603603753e+18,13912419383.313728,28501.647821281997,1.3359841277249963e+22,2561536291952123.5,9981790.07648101,9261317.159961965,140.8232517718049
2019-12-20 12:00:00,2.703868359801845e+18,10993966588.914873,26009.94784558006,1.3366077537575015e+22,2494412363519622.5,9980745.380987694,8304776.364019888,106.68838203562119
2019-12-21 00:00:00,1.4428392734629578e+18,12286499670.53614,26381.499316048936,1.3372373331556585e+22,2527225259597196.0,9972939.76138837,8295780.071165505,122.67246512339976
2019-12-21 12:00:00,1.667546644221773e+18,10035163540.864902,22792.885764529343,1.3378944526289534e+22,2577916858217228.0,9962313.039401796,7956210.131262475,92.097251540091
2019-12-22 00:00:00,1.5894518649202537e+18,11675262587.637415,26081.835833307996,1.3385310879665824e+22,2542336835884783.5,9970559.209644226,8250520.608671203,118.13077303816591
2019-12-22 12:00:00,1.459268137806483e+18,9858218471.922628,22820.433915160287,1.3391737731569938e+22,2566370573309973.5,9972625.389544955,7775998.722767454,94.6785146825424
2019-12-23 00:00:00,2.825316930835086e+18,13356083129.934464,29965.288313326833,1.3398139396473322e+22,2554453352369543.5,9972524.092515856,8936236.987514896,149.2789403085327
2019-12-23 12:00:00,3.1073208257291484e+18,11218811967.325441,24290.824075639346,1.340462843567735e+22,2575219738897691.5,9966348.507580493,8369855.916525591,102.96853002522454
2019-12-24 00:00:00,2.070426995031257e+18,12622695881.049875,27497.058772237986,1.3410936873204524e+22,2501031278910684.5,9973849.77363825,8567502.204331517,140.7046191528751
2019-12-24 12:00:00,1.8816910884027476e+18,9793034234.882214,22025.515943738854,1.3417400911743832e+22,2568442361938297.5,9938413.826527119,7870585.130514197,97.63531299812426
